geoid,GEOID10,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US06037132300,6037132300,"Census Tract 1323, Los Angeles, CA",2506,56,696,161,1810,173
14000US06037132501,6037132501,"Census Tract 1325.01, Los Angeles, CA",1193,68,541,102,652,108
14000US06037132502,6037132502,"Census Tract 1325.02, Los Angeles, CA",1365,30,710,117,655,115
14000US06037132700,6037132700,"Census Tract 1327, Los Angeles, CA",1592,58,857,114,735,106
14000US06037132900,6037132900,"Census Tract 1329, Los Angeles, CA",1343,44,775,82,568,79
14000US06037133000,6037133000,"Census Tract 1330, Los Angeles, CA",1314,21,895,123,419,122
14000US06037133100,6037133100,"Census Tract 1331, Los Angeles, CA",2024,92,846,108,1178,115
14000US06037134001,6037134001,"Census Tract 1340.01, Los Angeles, CA",982,37,325,65,657,72
14000US06037134002,6037134002,"Census Tract 1340.02, Los Angeles, CA",1084,53,490,58,594,76
14000US06037134101,6037134101,"Census Tract 1341.01, Los Angeles, CA",1450,82,890,148,560,133
14000US06037134103,6037134103,"Census Tract 1341.03, Los Angeles, CA",1346,55,826,90,520,86
14000US06037134104,6037134104,"Census Tract 1341.04, Los Angeles, CA",1440,33,595,78,845,83
14000US06037134201,6037134201,"Census Tract 1342.01, Los Angeles, CA",1253,70,979,106,274,101
14000US06037134302,6037134302,"Census Tract 1343.02, Los Angeles, CA",1261,38,1028,89,233,85
14000US06037134303,6037134303,"Census Tract 1343.03, Los Angeles, CA",1824,62,1356,117,468,103
14000US06037134304,6037134304,"Census Tract 1343.04, Los Angeles, CA",926,41,615,68,311,71
14000US06037134305,6037134305,"Census Tract 1343.05, Los Angeles, CA",1130,38,5,9,1125,39
14000US06037134306,6037134306,"Census Tract 1343.06, Los Angeles, CA",1324,22,384,83,940,88
14000US06037134421,6037134421,"Census Tract 1344.21, Los Angeles, CA",1386,53,1298,68,88,43
14000US06037134422,6037134422,"Census Tract 1344.22, Los Angeles, CA",1590,86,1362,131,228,97
14000US06037134423,6037134423,"Census Tract 1344.23, Los Angeles, CA",1297,28,1057,91,240,86
14000US06037134424,6037134424,"Census Tract 1344.24, Los Angeles, CA",967,32,939,41,28,20
